1,1,1
2,2,6
3,3,11
5,5,2
6,6,3
7,7,3
8,9,12
9,10,3
10,11,9
11,12,12
12,19,15
13,21,15
14,74,1
15,77,1
17,92,12
18,97,12
19,101,2
21,111,12
22,119,12
25,167,12
26,172,12
28,1167,12
29,1260,12
30,1265,12
31,1354,12
32,1555,12
33,1570,12
34,1658,2
35,1730,1
36,1735,9
37,1739,9
41,1755,9
42,1760,9
45,1784,3
49,1808,1
50,1812,9
52,1923,9
53,1930,3
54,2010,15
55,2124,9
56,2264,9
57,2373,9
58,2498,9
59,2587,10
60,2704,10
61,3390,9
63,3399,5
64,3402,9
65,3417,9
66,3421,1
71,3462,9
72,3463,9
73,3473,9
74,3551,9
75,3579,9
77,3880,9
78,4233,10
80,4340,6
81,4443,11
82,4475,10
83,4711,9
84,4734,6
85,4764,6
86,4824,9
87,5030,10
88,5033,10
92,5049,10
93,5053,10
94,5061,10
95,5066,10
98,5093,5
101,5100,2
102,5102,5
103,5109,5
104,5111,9
106,5121,5
111,5384,10
113,5523,10
114,5572,10
115,5660,6
116,5674,5
118,5913,6
119,6061,6
120,6132,3
121,6233,5
122,6433,9
123,6465,5
124,6685,6
125,6697,3
127,6710,3
128,6716,3
129,6736,11
130,6750,11
131,6754,10
132,6757,5
133,6759,3
134,6762,3
135,6767,5
136,6775,3
137,6782,3
138,6914,6
139,6917,3
140,6936,3
141,6959,6
142,7190,5
143,7228,3
144,7260,10
145,7327,5
146,7444,10
147,7555,10
148,7593,10
149,7604,10
150,7653,10
152,7940,10
155,8331,1
156,8337,3
157,8342,1
158,8344,1
159,8348,1
163,8365,1
169,8400,9
170,8404,9
172,8416,9
173,8418,9
175,8437,9
177,8447,1
178,8454,9
179,8460,1
180,8468,12
182,8475,9
183,8477,9
184,8479,11
185,8489,11
186,8777,1
187,8787,12
189,8821,1
195,9451,9
197,9522,12
198,10045,12
199,10046,12
200,10054,9
201,10062,9
202,10065,9
203,10076,12
205,10091,12
206,10102,3
207,10106,5
208,10107,3
209,10113,3
210,10116,1
211,10123,9
212,10125,9
213,10126,12
214,10132,9
215,10139,12
216,10154,3
217,10157,3
218,10165,3
