1,1,1,1
3,3,3,11
5,5,5,2
6,6,6,3
7,7,7,5
8,8,9,12
9,9,10,1
10,10,11,12
11,11,12,12
12,12,17,15
13,13,21,15
14,14,77,15
15,15,80,15
17,17,89,12
18,18,93,12
19,19,102,12
20,20,107,12
21,21,118,12
22,22,162,12
24,24,164,12
25,25,168,12
28,28,1230,12
30,30,1379,12
31,31,1723,1
32,32,1726,9
33,33,1728,3
34,34,1734,3
35,35,1739,9
36,36,1740,9
37,37,1748,9
38,38,1749,9
43,43,1786,3
44,44,1789,5
47,47,1804,12
50,50,1983,3
51,51,2029,9
53,53,2328,12
54,54,2358,5
55,55,2400,5
57,57,3381,1
58,58,3391,1
60,60,3397,9
61,61,3405,6
64,64,3420,3
74,74,3665,9
75,75,3666,9
76,76,3765,9
77,77,3835,5
78,78,3871,9
79,79,3908,3
81,81,4008,2
82,82,4084,3
83,83,4180,9
85,85,4250,9
86,86,4259,3
88,88,4378,10
90,90,4470,9
92,92,4625,10
94,94,4732,10
95,95,4842,6
96,96,4897,11
101,101,5045,10
102,102,5047,10
103,103,5054,10
104,104,5055,10
105,105,5060,10
106,106,5071,11
107,107,5094,10
108,108,5098,5
109,109,5103,5
110,110,5110,5
111,111,5124,3
114,114,5381,10
115,115,5429,10
116,116,5441,10
117,117,5637,6
119,119,5721,6
120,120,5756,6
121,121,5761,6
123,123,5839,6
125,125,5915,10
126,126,6068,6
127,127,6169,6
129,129,6224,6
130,130,6513,5
132,132,6692,6
133,133,6694,6
134,134,6697,5
135,135,6703,5
136,136,6706,5
137,137,6711,5
138,138,6717,5
139,139,6736,11
140,140,6742,11
141,141,6743,11
142,142,6751,10
143,143,6755,10
144,144,6758,5
145,145,6759,5
146,146,6763,6
147,147,6772,5
148,148,6779,3
149,149,6866,6
150,150,6893,3
151,151,6964,6
152,152,7031,5
154,154,7222,6
155,155,7310,10
156,156,7533,5
157,157,7559,10
158,158,7677,10
159,159,7721,6
161,161,7754,10
162,162,7928,9
163,163,8044,10
164,164,8061,9
